GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
millete,com.puntomartinez.millete.plannedtransactions.domain.model,PlannedTransaction.FrequencyType,0,27,0,0,0,5,0,1,0,1
millete,com.puntomartinez.millete.plannedtransactions.domain.model,PlannedTransaction,0,352,1,43,0,118,1,37,0,16
millete,com.puntomartinez.millete.categories.infrastructure.out.persistence.postgresql.mappers,CategoryEntityMapperImpl,0,45,0,2,0,13,0,3,0,2
millete,com.puntomartinez.millete.categories.infrastructure.out.persistence.postgresql.mappers,CategoryEntityMapper,0,22,0,2,0,11,0,2,0,1
millete,com.puntomartinez.millete.savingsgoals.application.services,SavingsGoalService,0,163,0,0,0,49,0,15,0,15
millete,com.puntomartinez.millete.dataexport.infrastructure.out.plannedtransactions,PlannedTransactionExportAdapter,0,49,0,0,0,22,0,3,0,3
millete,com.puntomartinez.millete.dataexport.infrastructure.out.plannedtransactions,PlannedTransactionImportAdapter,2,77,3,7,1,33,3,4,0,2
millete,com.puntomartinez.millete.users.application.services,UserQueryService,0,73,0,6,0,19,0,9,0,6
millete,com.puntomartinez.millete.users.application.services,UserService,199,0,34,0,38,0,22,0,5,0
millete,com.puntomartinez.millete.users.application.services,ProfileService,36,444,11,39,7,129,13,34,3,19
millete,com.puntomartinez.millete.users.application.services,SessionPersistenceService,0,53,0,0,0,17,0,4,0,4
millete,com.puntomartinez.millete.users.application.services,AuthenticationService,0,46,0,0,0,13,0,2,0,2
millete,com.puntomartinez.millete.users.application.services,AccountLockService,2,157,2,14,1,39,2,15,0,9
millete,com.puntomartinez.millete.savingsgoals.domain.ports.in,UpdateSavingsGoalCommand,0,71,0,16,0,13,0,9,0,1
millete,com.puntomartinez.millete.savingsgoals.domain.ports.in,WithdrawFromGoalCommand,0,37,0,8,0,8,0,5,0,1
millete,com.puntomartinez.millete.savingsgoals.domain.ports.in,CreateSavingsGoalCommand,0,69,0,16,0,13,0,9,0,1
millete,com.puntomartinez.millete.savingsgoals.domain.ports.in,AddContributionToGoalCommand,0,37,0,8,0,8,0,5,0,1
millete,com.puntomartinez.millete.transactions.domain.model,Transaction,0,208,0,26,0,71,0,27,0,14
millete,com.puntomartinez.millete.transactions.domain.model,Transaction.TransactionType,0,15,0,0,0,3,0,1,0,1
millete,com.puntomartinez.millete.plannedtransactions.infrastructure.in.controller.dto,RegisterPlannedTransactionRequestDTO,0,27,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.plannedtransactions.infrastructure.in.controller.dto,PlannedTransactionResponseDTO,0,39,0,0,0,1,0,1,0,1
millete,com.puntomartinez.millete.plannedtransactions.infrastructure.in.controller.dto,UpdatePlannedTransactionRequestDTO,0,21,0,0,0,1,0,1,0,1
